artist,album,score,genres
Yes,Close to the Edge,8.1,Rock
Matana Roberts,Coin Coin Chapter 3: River Run Thee,SCORE ERROR,GENRES ERROR
Matana Roberts,COIN COIN Chapter Four: Memphis,SCORE ERROR,GENRES ERROR
Matana Roberts,Coin Coin Chapter One: Gens de Couleur Libres,SCORE ERROR,GENRES ERROR
J. Cole,Cole World: The Sideline Story,SCORE ERROR,GENRES ERROR
Toxic Holocaust,Conjure and Command,SCORE ERROR,GENRES ERROR
Weatherday,Come in,SCORE ERROR,GENRES ERROR
Apathy,Connecticut Casual,SCORE ERROR,GENRES ERROR
Havok,Conformicide,SCORE ERROR,GENRES ERROR
Quality Control,"""Control The Streets, Vol. 1""",SCORE ERROR,GENRES ERROR
A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,SCORE ERROR,GENRES ERROR
USA Out of Vietnam,Crashing Diseases and Incurable Airplanes,SCORE ERROR,GENRES ERROR
Grave Babies,Crusher,SCORE ERROR,GENRES ERROR
Various Artists,Cruel Summer,SCORE ERROR,GENRES ERROR
Young Fathers,Cocoa Sugar,7.3,Rap
Iglooghost,Clear Tamei / Steel Mogu,7.2,Electronic
clipping.,CLPPNG,5.6,Rap
Park Jiha,Communion,7.0,Jazz
Iron Reagan,Crossover Ministry,6.7,Metal
Forest Swords,Compassion,7.8,Experimental
The xx,Coexist,7.5,"Electronic,Pop/R&B"
Beck,Colors,6.3,Rock
Mount Eerie,Clear Moon,8.3,Rock
Flying Lotus,Cosmogramma,8.8,Electronic
Foo Fighters,Concrete and Gold,6.5,Rock
Fleet Foxes,Crack-Up,8.7,Folk/Country
Best Coast,Crazy For You,8.4,Rock
Sun Kil Moon,Common As Light And Love Are Red Valleys Of Blood,6.5,Folk/Country
Ravyn Lenae,Crush,7.9,Pop/R&B
Kings of Leon,Come Around Sundown,3.6,Rock
David Lynch,Crazy Clown Time,6.1,"Experimental,Rock"
Migos,Culture,6.4,Rap
ScHoolboy Q,CrasH Talk,6.7,Rap
Chance The Rapper,Coloring Book,9.1,Rap
Aphex Twin,Collapse,8.1,Electronic
